Limpet_no,SL,Notes
1,5.5,
2,5.6,
3,6.4,
4,5.6,
5,5.8,
6,5.7,
7,5.0,
8,5.8,
9,4.9,
10,3.0,
11,3.2,
12,5.0,
13,5.4,
14,5.4,
15,4.4,chipped shell
16,6.9,
17,6.3,
18,4.0,
19,6.2,
20,5.9,
21,7.0,
22,6.5,
23,5.7,
24,5.4,
25,4.0,
26,6.8,
27,5.6,
28,6.0,
29,5.9,
30,7.2,
31,6.2,
32,6.0,
33,5.8,
34,6.2,
35,6.9,
36,4.1,
37,5.8,
38,6.7,
39,7.2,
40,6.0,
41,6.5,
42,7.0,
43,7.0,
44,na,
45,7.0,
46,7.0,
47,6.2,
48,2.3,
49,2.2,
50,6.7,
51,6.1,
52,6.9,
53,5.8,
54,6.5,
55,6.5,
56,4.0,
57,5.8,
58,6.6,
59,7.0,
60,5.5,
61,7.1,
62,6.9,
63,6.4,
64,6.7,
65,7.0,
66,6.4,
67,6.7,
68,6.1,
69,5.6,
70,5.8,
71,5.2,
72,6.5,
73,5.7,
74,5.9,
75,5.9,
76,5.7,
77,2.9,
78,6.7,
79,5.6,
80,6.9,
81,4.6,
82,4.4,
83,6.7,
84,3.6,
85,6.2,
86,6.4,
87,6.2,
88,5.6,
89,5.7,
90,6.0,
91,7.3,
92,5.8,
93,6.6,
94,5.4,
95,6.0,
96,5.1,
97,4.0,
98,5.0,
99,5.5,
100,5.3,
101,6.5,
102,7.0,
103,4.7,
104,7.0,
105,5.7,
106,7.2,
107,5.0,
108,5.7,
109,4.7,
110,4.9,
111,5.3,
